Date/Time,Base,count
2014-06-06,B02598,9396
2014-06-06,B02617,6003
2014-06-06,B02682,7745
2014-06-06,B02764,314
2014-06-07,B02512,960
2014-06-07,B02598,7985
2014-06-07,B02617,5213
2014-06-07,B02682,6419
2014-06-07,B02764,312
2014-06-08,B02512,787
2014-06-08,B02598,5936
2014-06-08,B02617,4059
2014-06-08,B02682,4773
2014-06-08,B02764,194
2014-06-09,B02512,1193
2014-06-09,B02598,8772
2014-06-09,B02617,5758
2014-06-09,B02682,7147
2014-06-09,B02764,374
2014-06-10,B02512,1204
2014-06-10,B02598,8639
2014-06-10,B02617,5826
2014-06-10,B02682,6902
2014-06-10,B02764,303
2014-06-11,B02512,1330
2014-06-11,B02598,9503
2014-06-11,B02617,6601
2014-06-11,B02682,7914
2014-06-11,B02764,368
2014-06-12,B02512,1590
2014-06-12,B02598,10898
2014-06-12,B02617,7965
2014-06-12,B02682,8881
2014-06-12,B02764,510
2014-06-13,B02512,1651
2014-06-13,B02598,11382
2014-06-13,B02617,8234
2014-06-13,B02682,9502
2014-06-13,B02764,438
2014-06-14,B02512,910
2014-06-14,B02598,7190
2014-06-14,B02617,5144
2014-06-14,B02682,5833
2014-06-14,B02764,250
2014-06-15,B02512,649
2014-06-15,B02598,5369
2014-06-15,B02617,4139
2014-06-15,B02682,4163
2014-06-15,B02764,191
2014-06-16,B02512,931
2014-06-16,B02598,6540
2014-06-16,B02617,4962
2014-06-16,B02682,5069
2014-06-16,B02764,276
2014-06-17,B02512,1125
2014-06-17,B02598,7975
2014-06-17,B02617,6071
2014-06-17,B02682,6310
2014-06-17,B02764,326
2014-06-18,B02512,1198
2014-06-18,B02598,8911
2014-06-18,B02617,6958
2014-06-18,B02682,7223
2014-06-18,B02764,357
2014-06-19,B02512,1528
2014-06-19,B02598,10342
2014-06-19,B02617,8303
2014-06-19,B02682,7995
2014-06-19,B02764,426
2014-06-20,B02512,1094
2014-06-20,B02598,8584
2014-06-20,B02617,7421
2014-06-20,B02682,6851
2014-06-20,B02764,321
2014-06-21,B02512,859
2014-06-21,B02598,7148
2014-06-21,B02617,6006
2014-06-21,B02682,5687
2014-06-21,B02764,240
2014-06-22,B02512,757
2014-06-22,B02598,5649
2014-06-22,B02617,5033
2014-06-22,B02682,4691
2014-06-22,B02764,192
2014-06-23,B02512,809
2014-06-23,B02598,6206
2014-06-23,B02617,5429
2014-06-23,B02682,5013
2014-06-23,B02764,278
2014-06-24,B02512,856
2014-06-24,B02598,7318
2014-06-24,B02617,6507
2014-06-24,B02682,5812
2014-06-24,B02764,286
2014-06-25,B02512,1144
2014-06-25,B02598,9311
2014-06-25,B02617,8299
2014-06-25,B02682,7363
2014-06-25,B02764,343
2014-06-26,B02512,1351
2014-06-26,B02598,9818
2014-06-26,B02617,8999
2014-06-26,B02682,8002
2014-06-26,B02764,346
2014-06-27,B02512,1054
2014-06-27,B02598,8646
2014-06-27,B02617,7946
2014-06-27,B02682,6938
2014-06-27,B02764,311
2014-06-28,B02512,892
2014-06-28,B02598,7287
2014-06-28,B02617,6940
2014-06-28,B02682,5885
2014-06-28,B02764,204
2014-06-29,B02512,718
2014-06-29,B02598,6038
2014-06-29,B02617,5645
2014-06-29,B02682,4535
2014-06-29,B02764,171
2014-06-30,B02512,877
2014-06-30,B02598,6366
2014-06-30,B02617,5755
2014-06-30,B02682,5168
2014-06-30,B02764,229
2014-07-01,B02512,1020
2014-07-01,B02598,7236
2014-07-01,B02617,6955
2014-07-01,B02682,5744
2014-07-01,B02764,273
2014-07-02,B02512,1265
2014-07-02,B02598,8799
2014-07-02,B02617,8636
2014-07-02,B02682,7457
2014-07-02,B02764,323
2014-07-03,B02512,1014
2014-07-03,B02598,7240
2014-07-03,B02617,7105
2014-07-03,B02682,5986
2014-07-03,B02764,252
2014-07-04,B02512,547
2014-07-04,B02598,4515
2014-07-04,B02617,5133
2014-07-04,B02682,3812
2014-07-04,B02764,141
2014-07-05,B02512,397
2014-07-05,B02598,3557
2014-07-05,B02617,3940
2014-07-05,B02682,2882
2014-07-05,B02764,114
2014-07-06,B02512,430
2014-07-06,B02598,3780
2014-07-06,B02617,3988
2014-07-06,B02682,3125
2014-07-06,B02764,120
2014-07-07,B02512,874
2014-07-07,B02598,5882
2014-07-07,B02617,6358
2014-07-07,B02682,4976
2014-07-07,B02764,190
2014-07-08,B02512,1221
2014-07-08,B02598,8442
2014-07-08,B02617,8921
2014-07-08,B02682,6819
2014-07-08,B02764,360
2014-07-09,B02512,1366
2014-07-09,B02598,8941
2014-07-09,B02617,10002
2014-07-09,B02682,7249
2014-07-09,B02764,259
2014-07-10,B02512,1401
2014-07-10,B02598,9805
2014-07-10,B02617,11146
2014-07-10,B02682,7803
2014-07-10,B02764,386
2014-07-11,B02512,1232
2014-07-11,B02598,9145
2014-07-11,B02617,10835
2014-07-11,B02682,7242
2014-07-11,B02764,298
2014-07-12,B02512,955
2014-07-12,B02598,8380
2014-07-12,B02617,9867
2014-07-12,B02682,6503
2014-07-12,B02764,231
2014-07-13,B02512,915
2014-07-13,B02598,6532
2014-07-13,B02617,8209
2014-07-13,B02682,5211
2014-07-13,B02764,215
2014-07-14,B02512,1375
2014-07-14,B02598,8564
2014-07-14,B02617,10269
2014-07-14,B02682,6799
2014-07-14,B02764,343
2014-07-15,B02512,1654
2014-07-15,B02598,10750
2014-07-15,B02617,12777
2014-07-15,B02682,8302
2014-07-15,B02764,362
2014-07-16,B02512,1311
2014-07-16,B02598,8590
2014-07-16,B02617,11259
2014-07-16,B02682,7105
2014-07-16,B02764,342
2014-07-17,B02512,1284
2014-07-17,B02598,9446
2014-07-17,B02617,12064
2014-07-17,B02682,7557
2014-07-17,B02764,359
2014-07-18,B02512,1220
2014-07-18,B02598,8897
